intake_type,intake_subtype,secondary_breed,Breed,AKC_Extended,KennelCardBreed,LOS,AgeGroup,age
STRAY,FIELD,MIX,American Staffordshire Terrier,Pit Bull Types,With Breed,14,Adult (1-7yr),1.259921049894873
FOSTER,OTC,MIX,Labrador Retreiver,Sporting,Without Breed,3,Adolescent (5-12mo),0.7368062997280774
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,10,Adult (1-7yr),1.5874010519681994
STRAY,FIELD,unknown,German Shepherd Dog,Herding,Without Breed,1,Adult (1-7yr),1.709975946676697
OWNER SURR,OTC,DACHSHUND MIN,Chihuahua,Toy,Without Breed,4,Adolescent (5-12mo),1.0
STRAY,FIELD,unknown,Chihuahua,Toy,With Breed,9,Adult (1-7yr),1.4422495703074083
STRAY,OTC,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,8,Puppy (0-4mo),0.5848035476425733
CONFISCATE,EVICTION,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,24,Adult (1-7yr),1.4422495703074083
STRAY,FIELD,unknown,Cairn Terrier,Other Terriers,With Breed,6,Adult (1-7yr),1.259921049894873
STRAY,FIELD,unknown,Maltese,Toy,Without Breed,30,Puppy (0-4mo),0.0
STRAY,FIELD,unknown,Chihuahua,Toy,Without Breed,30,Adult (1-7yr),1.5874010519681994
STRAY,OTC,MIX,Russell Terrier (Jack Russell),Other Terriers,With Breed,1,Adult (1-7yr),1.709975946676697
STRAY,FIELD,BOXER,Labrador Retreiver,Sporting,Without Breed,9,Adult (1-7yr),1.1447142425533319
STRAY,OTC,MIX,Border Terrier,Other Terriers,With Breed,6,Adolescent (5-12mo),0.928317766722556
STRAY,FIELD,MIX,American Staffordshire Terrier,Pit Bull Types,With Breed,14,Adult (1-7yr),1.1447142425533319
OWNER SURR,OTC,unknown,Labrador Retreiver,Sporting,With Breed,1,Senior (8+yr),2.0
STRAY,FIELD,MIX,Labrador Retreiver,Sporting,With Breed,2,Adult (1-7yr),1.259921049894873
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,31,Puppy (0-4mo),0.0
